benchmark,result,exit_code,cpu_time_seconds,system_time_seconds,wall_time_seconds,cpu_percentage,max_memory_kb,avg_memory_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,file_system_inputs,file_system_outputs,socket_messages_sent,socket_messages_received,signals_delivered,page_size_bytes,conflicts,decisions,propagations,restarts,conflict_literals,learnt_literals,max_literals,tot_literals,variables,clauses,original_clauses,learned_clauses_deleted,avg_clause_length,conflicts_per_second,decisions_per_second,propagations_per_second,random_decisions_percentage,preprocessing_time,solving_time,total_literals_in_learned,deleted_literals_percentage,file_size_bytes
6f4df706246d29bf38adadd274fadab3-SGI_30_60_19_60_6-dir.shuffled-as.sat03-112,TIMEOUT,124,0,0,5000.128124503,99,0,0,0,0,43,7840,0,0,0,0,0,4096,,,,,,,,,570,45688,45688,,.02,,,,,,,,,490082
6add7e416c1126607afeb2666af330ac-constraints_16_0.5_1.sanitized,UNSAT,20,0,0,660.015896315,99,0,0,0,0,336,1924,0,0,0,0,0,4096,833336,1413407,72254306,1788,94521438,94521438,,94521438,2240,53398,53398,46.64,.08,1262.59,2141.47,109473.58,0.00,,,94521438,46.64,18665922
6c52aca5b5fd284bf1940b84df90a367-1-TC-256-K-71.sanitized,UNSAT,20,0,0,2829.204263359,99,0,0,0,0,162,5263,0,0,0,0,0,4096,2209949,3292358,2036260441,4094,104906553,104906553,,104906553,16203,510039,510039,48.71,.06,781.12,1163.70,719729.03,0.00,,,104906553,48.71,7806182
697c96ac45534726c7dbd96faa11a86a-x9-11094.sat.sanitized,SAT,10,0,0,192.288592942,99,0,0,0,0,37,1217,0,0,0,0,0,4096,4915541,6310089,555548047,8190,175197845,175197845,,175197845,550,4952,4952,23.84,.22,25563.35,32815.72,2889136.78,0.00,,,175197845,23.84,61623
6969c86fbc5814332ab8615031334fa8-asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c,SAT,10,0,0,160.183447575,99,0,0,0,0,162,695,0,0,0,0,0,4096,255390,1309315,226749602,603,29354010,29354010,,29354010,158749,372630,372630,14.70,.85,1594.35,8173.84,1415562.00,0.00,,,29354010,14.70,7869891
69e34d0f49c71a7e145d8104ebe0273f-sokoban-p16.sas.ex.15-sc2016,UNSAT,20,0,0,4624.333006476,99,0,0,0,0,3376,5893,0,0,0,0,0,4096,1026437,9419763,1531726430,2047,523384739,523384739,,523384739,2343808,4455212,4455212,41.78,1.05,221.96,2036.99,331231.86,0.00,,,523384739,41.78,205947826
6a674acad2aeac729ecb39ad9e4a2298-1-ZC-1024-K-116.sanitized,TIMEOUT,124,0,0,5000.276938474,99,0,0,0,0,1795,7356,0,0,0,0,0,4096,,,,,,,,,114162,6597349,6597349,,.03,,,,,,,,,108633200
695e287a447fcdd924985a6e73057a38-rbsat-v1150c84314gyes1,TIMEOUT,124,0,0,5000.124013775,99,0,0,0,0,51,13317,0,0,0,0,0,4096,,,,,,,,,1150,84314,84314,,.02,,,,,,,,,1024652
65c5a5d228ec5e52d1a72f918086f584-32_100.sanitized,SAT,10,0,0,570.200020529,98,0,0,0,0,10354,3285,0,0,0,0,0,4096,34164,80342305,1175959242,125,388370,388370,,388370,11055652,27532659,27532659,3.45,.80,59.91,140901.96,2062362.67,0.00,,,388370,3.45,636442310
67c533489a498495525efee429340958-cliquecolouring_n15_k9_c8.sanitized,TIMEOUT,124,0,0,5000.181118131,99,0,0,0,0,40,1978,0,0,0,0,0,4096,,,,,,,,,360,10329,10329,,.06,,,,,,,,,150544
67b4844c4bfbaf961cbbd79b953aa5c2-stb_588_138.apx_1_DC-AD,TIMEOUT,124,0,0,5000.107120854,99,0,0,0,0,40,2891,0,0,0,0,0,4096,,,,,,,,,1176,12921,12921,,.18,,,,,,,,,160729
6543793076c30fc7cdfa5a3c819cedc7-oisc-subrv-sll-nested-11,TIMEOUT,124,0,0,10340.248476710,48,0,0,0,0,9539,7902,0,0,0,0,0,4096,,,,,,,,,7161350,24914325,24914325,,.57,,,,,,,,,586210918
63732c330adb8de8dd47ce1693b86d0e-FmlaEquivChain_4_8_8.sanitized,TIMEOUT,124,0,0,11319.514701687,44,0,0,0,0,1024,9152,0,0,0,0,0,4096,,,,,,,,,266204,2719512,2719512,,.19,,,,,,,,,60948290
634a271f5fe339007a186539d615e92f-noL-11-4.sanitized,TIMEOUT,124,0,0,11319.264071864,44,0,0,0,0,40,3452,0,0,0,0,0,4096,,,,,,,,,1419,7821,7821,,.36,,,,,,,,,133475
61069e0e3339af80000b774a041b7d96-constraints_18_0.3_2.sanitized,UNSAT,20,0,0,3045.837331736,99,0,0,0,0,588,4653,0,0,0,0,0,4096,5206136,7948690,871557247,8191,432738385,432738385,,432738385,3264,50832,50832,57.91,.12,1709.26,2609.68,286147.01,0.00,,,432738385,57.91,34141791
6077d4e5f755124ddc84068d6ccb630f-Nb44T6,UNSAT,20,0,0,2984.597255883,99,0,0,0,0,2631,4609,0,0,0,0,0,4096,947132,1648075,10814418644,2044,15586053,15586053,,15586053,1516938,6737280,6737280,25.49,.45,317.33,552.19,3623409.69,0.00,,,15586053,25.49,160216918
6008b958ff6877f32c26b72728df4523-linked_list_swap_contents_safety_unwind76,ERROR,0,0,0,372.924528759,96,0,0,0,0,16365,469,0,0,0,0,0,4096,,,,,,,,,3106374,38935153,38935153,,.15,,,,,,,,,1007510748
62dcbf79f5ecef5618c9d9a00311326c-pcmax-scheduling-m13-1655-9604-UNSAT.sanitized,TIMEOUT,124,0,0,5979.666471777,83,0,0,0,0,38,4188,0,0,0,0,0,4096,,,,,,,,,1654,8801,8801,,.37,,,,,,,,,152713
5ea72bcdccc86bd1a924029f7b81aec5-atco_enc1_opt1_10_15,SAT,10,0,0,2156.732876507,99,0,0,0,0,134,2869,0,0,0,0,0,4096,4557018,6675162,4026698481,8187,125255003,125255003,,125255003,46759,250518,250518,40.00,.37,2112.92,3095.03,1867036.25,0.00,,,125255003,40.00,6119410
5e5fe73a2e0ffc8e19873298566919fb-rbsat-v760c43649gyes3,SAT,10,0,0,3065.627050013,99,0,0,0,0,44,2069,0,0,0,0,0,4096,9791596,12941377,779508826,16200,541868935,541868935,,541868935,760,43649,43649,47.78,.03,3193.99,4221.44,254273.86,0.00,,,541868935,47.78,514056
5e1c11b77cdf3717b81b957120f0f477-x9-12001.sat.sanitized,SAT,10,0,0,1085.559861496,99,0,0,0,0,36,1041,0,0,0,0,0,4096,17041448,22092361,1993612923,25085,660962661,660962661,,660962661,600,5392,5392,23.81,.22,15698.30,20351.12,1836483.63,0.00,,,660962661,23.81,67341
5ee7de2bd112aa39485e79c9d487bf8f-simon-r23-1.sanitized,TIMEOUT,124,0,0,5046.921406767,100,0,0,0,0,39,5287,0,0,0,0,0,4096,,,,,,,,,3808,12576,12576,,.60,,,,,,,,,202604
5cb1ca8fe8a9d9125ea9accd498445f1-stb_531_83.apx_1_DC-ST,TIMEOUT,124,0,0,5181.694916083,99,0,0,0,0,40,3087,0,0,0,0,0,4096,,,,,,,,,1062,19797,19797,,.10,,,,,,,,,248266
5b5dfab02ce5c12a50be3bc7d7cc42c7-pcmax-scheduling-m15-2352-13561-SAT.sanitized,TIMEOUT,124,0,0,5187.596293374,100,0,0,0,0,39,3568,0,0,0,0,0,4096,,,,,,,,,2351,13401,13401,,.35,,,,,,,,,215353
5b0f16de2c5419b80b608db37d07d994-lec_mult_KvW_11x10.sanitized,TIMEOUT,124,0,0,5211.663594119,99,0,0,0,0,39,3475,0,0,0,0,0,4096,,,,,,,,,4595,13744,13744,,.66,,,,,,,,,196621
5ab3040d8617bf9f4d4cef4e56dcfd03-g2-hwmcc15deep-6s161-k17,TIMEOUT,124,0,0,5229.783027155,99,0,0,0,0,70,9049,0,0,0,0,0,4096,,,,,,,,,44195,128348,128348,,.68,,,,,,,,,2140957
5a068ba62fe30e435a76e2ec80896ef4-ITC2021_Middle_1.xml,TIMEOUT,124,0,0,5229.854921132,99,0,0,0,0,86,6902,0,0,0,0,0,4096,,,,,,,,,58907,193418,193418,,.60,,,,,,,,,3184274
